f0_feature,timestamp,f0_value,f1_feature,f1_value,f2_feature,f2_value
update_count,2005-05-24 00:07:00,541,announcement_count,475,withdrawal_count,33
update_count,2005-05-24 00:08:00,806,announcement_count,737,withdrawal_count,21
update_count,2005-05-24 00:09:00,1160,announcement_count,918,withdrawal_count,212
update_count,2005-05-24 00:10:00,696,announcement_count,615,withdrawal_count,32
update_count,2005-05-24 00:11:00,847,announcement_count,747,withdrawal_count,72
update_count,2005-05-24 00:12:00,714,announcement_count,581,withdrawal_count,87
update_count,2005-05-24 00:13:00,681,announcement_count,596,withdrawal_count,53
update_count,2005-05-24 00:14:00,1192,announcement_count,1021,withdrawal_count,128
update_count,2005-05-24 00:15:00,892,announcement_count,562,withdrawal_count,292
update_count,2005-05-24 00:16:00,628,announcement_count,530,withdrawal_count,56
update_count,2005-05-24 00:17:00,1027,announcement_count,869,withdrawal_count,128
update_count,2005-05-24 00:18:00,622,announcement_count,537,withdrawal_count,39
update_count,2005-05-24 00:19:00,673,announcement_count,628,withdrawal_count,14
update_count,2005-05-24 00:20:00,633,announcement_count,570,withdrawal_count,19
update_count,2005-05-24 00:21:00,516,announcement_count,451,withdrawal_count,31
update_count,2005-05-24 00:22:00,652,announcement_count,578,withdrawal_count,30
update_count,2005-05-24 00:23:00,888,announcement_count,802,withdrawal_count,55
update_count,2005-05-24 00:24:00,648,announcement_count,541,withdrawal_count,57
update_count,2005-05-24 00:25:00,902,announcement_count,833,withdrawal_count,40
update_count,2005-05-24 00:26:00,266,announcement_count,207,withdrawal_count,13
update_count,2005-05-24 00:27:00,579,announcement_count,521,withdrawal_count,30
update_count,2005-05-24 00:28:00,792,announcement_count,647,withdrawal_count,101
update_count,2005-05-24 00:29:00,685,announcement_count,577,withdrawal_count,74
update_count,2005-05-24 00:30:00,969,announcement_count,883,withdrawal_count,42
update_count,2005-05-24 00:31:00,853,announcement_count,802,withdrawal_count,19
update_count,2005-05-24 00:32:00,601,announcement_count,514,withdrawal_count,41
update_count,2005-05-24 00:33:00,981,announcement_count,861,withdrawal_count,92
update_count,2005-05-24 00:34:00,557,announcement_count,466,withdrawal_count,56
update_count,2005-05-24 00:35:00,893,announcement_count,800,withdrawal_count,52
update_count,2005-05-24 00:36:00,598,announcement_count,500,withdrawal_count,71
update_count,2005-05-24 00:37:00,731,announcement_count,586,withdrawal_count,95
update_count,2005-05-24 00:38:00,747,announcement_count,611,withdrawal_count,112
update_count,2005-05-24 00:39:00,874,announcement_count,757,withdrawal_count,71
update_count,2005-05-24 00:40:00,761,announcement_count,715,withdrawal_count,18
update_count,2005-05-24 00:41:00,687,announcement_count,621,withdrawal_count,13
update_count,2005-05-24 00:42:00,667,announcement_count,619,withdrawal_count,26
update_count,2005-05-24 00:43:00,512,announcement_count,433,withdrawal_count,29
update_count,2005-05-24 00:44:00,555,announcement_count,515,withdrawal_count,15
update_count,2005-05-24 00:45:00,1088,announcement_count,1017,withdrawal_count,17
update_count,2005-05-24 00:46:00,663,announcement_count,611,withdrawal_count,26
update_count,2005-05-24 00:47:00,610,announcement_count,518,withdrawal_count,39
update_count,2005-05-24 00:48:00,315,announcement_count,267,withdrawal_count,26
update_count,2005-05-24 00:49:00,538,announcement_count,473,withdrawal_count,11
update_count,2005-05-24 00:50:00,533,announcement_count,470,withdrawal_count,39
